UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO
SC,JOINVILLE,UBSF ITAUM,GUANABARA,548,GUANABARA
SC,JOINVILLE,UBSF BOM RETIRO,RUA OTAVIO ROSA,1,BOM RETIRO
SC,JOINVILLE,UBSF PROFIPO,CIDADE DE PATOS DE MINAS,1,PROFIPO
SC,JOINVILLE,UBSF PARANAGUAMIRIM,RUA ELIZABETH RECK,S/N,PARANAGUAMIRIM
SC,JOINVILLE,UBSF PARQUE JOINVILLE,RUA WILLY SCHOSSLAND,1,PARQUE JOINVILLE
SC,JOINVILLE,UBSF VILA NOVA,RUA XV DE NOVEMBRO,8436,VILA NOVA
SC,JOINVILLE,UBSF CANELA,EMILIO HARDT,1485,RIO BONITO
SC,JOINVILLE,UBSF AVENTUREIRO II,LAURO SCHROEDER,1,AVENTUREIRO
SC,JOINVILLE,UBS SAGUACU,RUA IRIRIU,110,SAGUACU
SC,JOINVILLE,UBSF MOINHO DOS VENTOS,RUA SEBASTIAO S BORBA,1,ESPINHEIROS
SC,JOINVILLE,UBSF JARDIM PARAISO III,ESTRADA TIMBE,7130,JARDIM PARAISO
SC,JOINVILLE,UBSF BAKITAS,SAO MIGUEL,513,BOA VISTA
SC,JOINVILLE,UBSF RIO DO FERRO,RUA DILMA VERGILIA GARCIA,1031,AVENTUREIRO
SC,JOINVILLE,UBSF DOM GREGORIO,RUA JANAUBA,509,JARDIM IRIRIU
SC,JOINVILLE,UBSF WILLY SCHOSSLAND,VEREADOR KURT ALVINO MONICK,1,COSTA E SILVA
SC,JOINVILLE,UBSF RIO BONITO,RUA XV DE OUTUBRO,4648,PIRABEIRABA
SC,JOINVILLE,UBSF PARQUE GUARANI,RUA DIOVANA MARIA RODRIGUES,S/N,ITINGA
SC,JOINVILLE,UBSF COMASA,PONTE SERRADA,75,COMASA
SC,JOINVILLE,UBSF AVENTUREIRO III,SANTA LUZIA,1,AVENTUREIRO
SC,JOINVILLE,UBSF LAGOINHA,TANCREDO NEVES,46,MORRO DO MEIO
SC,JOINVILLE,UBSF ADHEMAR GARCIA PEDRO CELESTINO DA SILVA JUNIOR,RUA VICENTE ALVES PEREIRA,1,ADEMAR GARCIA
SC,JOINVILLE,UBS UNIDADE DE SAUDE PRISIONAL DE JOINVILLE,SEIS DE JANEIRO,1,PARANAGUAMIRIM
SC,JOINVILLE,UBSF BOEHMERWALD,UNIVERSIDADE,355,BOEHMERWALDT
SC,JOINVILLE,UBSF VILA NOVA I DAGOBERTO JOSE DE CAMPOS,ARTHUR HILLE,241,VILA NOVA
SC,JOINVILLE,UBSF JARDIM PARAISO IV,ESTRADA TIMBE,1,JARDIM PARAISO
SC,JOINVILLE,UBSF JARDIM PARAISO I E II,RUA JUPITER,1,JARDIM PARAISO
SC,JOINVILLE,UBSF SANTA BARBARA,MARIA REGINA KLOCK RUSSI,963,AVENTUREIRO
SC,JOINVILLE,UBSF PIRABEIRABA OSMAR DALONSO,DOUTOR CARLOS HEINS FUNKE,S/N,PIRABEIRABA
SC,JOINVILLE,UBSF DA ILHA,ANTONIO AUGUSTO DO LIVRAMENTO,289,ESPINHEIROS
SC,JOINVILLE,UBSF ANABURGO,ARNOLD FREDERICO MATIAS LIERDMANN,93,VILA NOVA
SC,JOINVILLE,UBSF JARDIM PARAISO V E VI,AVENIDA JUPTER,1758,JARDIM PARAISO
SC,JOINVILLE,UBSF CUBATAO,NOSSA SENHORA DE FATIMA,1,CUBATAO
SC,JOINVILLE,UBSF LEONARDO SCHILICKMANN,JORGE AUGUSTO EMILIO MULLER,118,IRIRIU
SC,JOINVILLE,UBSF ULYSSES GUIMARAES,CIDADE DE BARRETOS,1,ULISSES GUIMARAES
SC,JOINVILLE,UBSF MORRO DO MEIO,ITAPEVA,1,MORRO DO MEIO
SC,JOINVILLE,UBSF VILA NOVA RURAL,RODOVIA SC 413,1,VILA NOVA
SC,JOINVILLE,UBSF COSTA E SILVA,COMANDANTE TELES DE MENDONCA,65,COSTA E SILVA
SC,JOINVILLE,UBSF BUCAREIN,RUA INACIO BASTOS,555,BUCAREIN
SC,JOSE BOITEUX,UNIDADE SANITARIA SEDE DE JOSE BOITEUX,RUA 20 DE JULHO,S/N,CENTRO
SC,JOSE BOITEUX,UNIDADE DE PRONTO ATENDIMENTO MEDICO,RUA 20 DE JULHO,S/N,CENTRO
SC,JUPIA,UNIDADE SANITARIA SEDE DE JUPIA,RUA RIO BRANCO,320,CENTRO
SC,LACERDOPOLIS,UNIDADE SANITARIA DE LACERDOPOLIS,RUA SETE DE SETEMBRO,1237,CENTRO
SC,LACERDOPOLIS,POSTO LINHA SAO ROQUE,LINHA SAO ROQUE,15,INTERIOR
SC,LAGES,UNIDADE DE SAUDE INTERIOR EQUIPE 42,PRACA LEOBERTO LEAL,20,CENTRO
SC,LAGES,UNIDADE DE SAUDE HABITACAO,RUA DO GUAVIJU,S/N,HABITACAO
SC,LAGES,UNIDADE DE SAUDE GUARUJA,RUA JOAO ABREU BARBOSA,S/N,GUARUJA
SC,LAGES,UNIDADE DE SAUDE CONTA DINHEIRO,AV LUIZ DE CAMOES,S/N,CONTA DINHEIRO
SC,LAGES,UNIDADE DE SAUDE VARZEA,RUA FARIAS DE BRITO,410,VARZEA
SC,LAGES,UNIDADE DE SAUDE SAO CRISTOVAO,RUA MARANHAO,S/N,SAO CRISTOVAO
SC,LAGES,UNIDADE DE SAUDE SANTA HELENA,AVENIDA CALDAS JUNIOR,475,SANTA HELENA
SC,LAGES,UNIDADE DE SAUDE PENHA,RUA NOSSA SENHORA DA PENHA,398,PENHA
SC,LAGES,UNIDADE DE SAUDE INTERIOR EQUIPE 43,PRACA LEOBERTO LEAL,20,CENTRO
SC,LAGES,UNIDADE DE SAUDE FREI ROGERIO,RUA JOAO JOSE GODINHO,1868,FREI ROGERIO
SC,LAGES,UNIDADE DE SAUDE CENTENARIO,VISCONDE CAIRU,185,CENTERNARIO
SC,LAGES,UNIDADE DE SAUDE CENTRO,JAMES ROBERT AMOS,S/N,CENTRO
SC,LAGES,UNIDADE DE SAUDE CACA E TIRO,RUA CIRILO VIEIRA RAMOS,782,CACA E TIRO
SC,LAGES,UNIDADE DE SAUDE UNIVERSITARIO,RUA GAMA D ECA,41,UNIVERSITARIO
SC,LAGES,UNIDADE DE SAUDE TRIBUTO,RUA ABRAMO BAU,S/N,TRIBUTO
SC,LAGES,UNIDADE DE SAUDE VILA MARIZA,RUA JACI ELIAS ANDRADE,165,VILA MARIZA
SC,LAGES,SAD SERVICO DE ATENCAO DOMICILIAR,RUI BARBOSA,20,CENTRO
SC,LAGES,UNIDADE DE SAUDE SAO CARLOS,RUA HERCILIO BATISTA OLIVEIRA,129,MARIA LUIZA
SC,LAGES,UNIDADE DE SAUDE SAO PEDRO,RUA JOAO MARIA FAUSTINO DOS SANTOS,91,SAO PEDRO
SC,LAGES,UNIDADE DE SAUDE PRO MORAR,TRAVESSA RUA INDALECIO DOMINGUES ARRUDA,10,PRO MORAR
SC,LAGES,UNIDADE DE SAUDE CORAL,AVENIDA CAMPOS SALLES,22,CORAL
SC,LAGES,UNIDADE DE SAUDE POPULAR,RUA SEBASTIAO ATAIDE,S/N,POPULAR
SC,LAGES,UNIDADE DE SAUDE COPACABANA,RUA PRESIDENTE KENEDY,632,COPACABANA
SC,LAGES,UNIDADE DE SAUDE VILA NOVA,RUA ANISIO MORTARI,90,VILA NOVA
SC,LAGES,UNIDADE DE SAUDE SAO MIGUEL,RUA JOAO MARIA DE JESUS,180,SAO MIGUEL
SC,LAGES,UNIDADE DE SAUDE SAO JOSE,AVENIDA SEGUNDO BATALHAO FERROVIARIO,363,CONTA DINHEIRO
SC,LAGES,UNIDADE DE SAUDE SAO FRANCISCO,RUA HOECKEL DE TAVARES,88,SAO FRANCISCO
SC,LAGES,UNIDADE DE SAUDE PETROPOLIS,RUA JOINVILLE,200,PETROPOLIS
SC,LAGES,UNIDADE DE SAUDE SANTA MONICA,RUA ESPORTE CLUBE PALMEIRAS,337,SANTA MONICA
SC,LAGES,UNIDADE DE SAUDE SANTA CATARINA,RUA DOUTOR AUJOR LUZ,S/N,STA CATARINA
SC,LAGUNA,ESF PASSAGEM DA BARRA,ESTRADA GERAL PASSAGEM DA BARRA,S/N,PASSAGEM DA BARRA
SC,LAGUNA,ESF BARRANCEIRA,ESTRADA GERAL DA BARRANCEIRA,S/N,BARRANCEIRA
SC,LAGUNA,ESF CAPUTERA,ESTRADA GERAL,S/N,CAPUTERA
SC,LAGUNA,ESF CAMPO DE FORA,RUA TENENTE BESSA,S/N,CENTRO
SC,LAGUNA,ESF MAGALHAES,RUA JOAO DE SOUZA,S/N,MAGALHAES
SC,LAGUNA,ESF FAROL,ESTRADA GERAL DO FAROL,S/N,FAROL DE SANTA MARTA
SC,LAGUNA,ESF PROGRESSO,RUA MARECHAL CANDIDO RONDON,S/N,PROGRESSO
SC,LAGUNA,ESF VILA VITORIA,SYLVIA ULISSEA BAIAO,92,VILA VITORIA
SC,LAGUNA,ESF ESPERANCA,VICTOR MEIRELES,S/N,ESPERANCA
SC,LAGUNA,ESF PORTINHO,AVENIDA CALISTRATO MULLER SALLES,S/N,PORTINHO
SC,LAGUNA,ESF RIBEIRAO PEQUENO,ESTRADA GERAL,S/N,RIBEIRAO PEQUENO
SC,LAGUNA,ESF CABECUDAS,DEOBAR DE OLIVEIRA,S/N,CABECUDAS
SC,LAGUNA,ESF MAR GROSSO,TRAVESSA PEDRAS GRANDES,143,MAR GROSSO
SC,LAJEADO GRANDE,UNIDADE SANITARIA DE LAJEADO GRANDE,AVENIDA AMERICA,760,CENTRO
SC,LAURENTINO,UNIDADE BASICA DE SAUDE KURT ARMIN RIEBAU,AVENIDA COLOMBO MACHADO SALLES,S/N,CENTRO
SC,LAURENTINO,UNIDADE SANITARIA DE LAURENTINO,RUA LEONELO LOSI,S/N,CENTRO
SC,LAURO MULLER,UNIDADE BASICA DE SAUDE PSF BARRO BRANCO,RUA VISCONDE DE BARBACENA,S/N,BARRO BRANCO
SC,LAURO MULLER,UNIDADE BASICA DE SAUDE PSF ARIZONA,RUA 12 DE OUTUBRO,S/N,ARIZONA
SC,LAURO MULLER,UNIDADE BASICA DE SAUDE PSF GUATA,RUA CHAPECO,S/N,GUATA
SC,LAURO MULLER,UNIDADE BASICA DE SAUDE PSF CENTRO,RUA JOAO ELPIDIO DE ARAUJO,S/N,CAIRU
SC,LAURO MULLER,UNIDADE BASICA DE SAUDE PSF SUMARE,RUA ABEL ROSSI,S/N,SUMARE
SC,LAURO MULLER,UNIDADE BASICA SAUDE PSF ITANEMA,ESTRADA GERAL,S/N,ITANEMA
SC,LEBON REGIS,POSTO DE SAUDE NUCLEO RIO DOCE,RUA PROJETADA,S/N,NUCLEO RIO DOCE
SC,LEBON REGIS,POSTO DE SAUDE NOSSA SENHORA DE LOURDES,RUA GERAL,S/N,GRUTA
SC,LEBON REGIS,UNIDADE SANITARIA CENTRAL,RUA IVENS DE ARAUJO,S/N,CENTRO
SC,LEBON REGIS,POSTO DE SAUDE FACHINAL SAO PEDRO,RODOVIA SC 302 KM 26,S/N,INTERIOR
SC,LEOBERTO LEAL,CENTRO DE SAUDE SANTA PAULINA,AVENIDA ADOLFO SCHEIDT,398,CENTRO
SC,LEOBERTO LEAL,UNIDADE BASICA DE SAUDE SANTA EDWIGES,VARGEM DOS BUGRES,0,VARGEM DOS BUGRES
SC,LEOBERTO LEAL,UNIDADE BASICA DE SAUDE NOSSA SENHORA APARECIDA,ESTRADA GERAL RIO DAS PEDRAS,S/N,RIO DAS PEDRAS
SC,LINDOIA DO SUL,UNIDADE BASICA DE SAUDE LINDOIA DO SUL,RUA TAMANDARE,97,CENTRO
SC,LONTRAS,UNIDADE DE SAUDE DE RIACHUELO,OTTO PEYERL,S/N,RIACHUELO
SC,LONTRAS,ARON FRANZ,RUA DO PARAISO,0,SALTO PILAO
SC,LONTRAS,CENTRAL UNIDADE SANITARIA CONJUGADA DA ATENCAO BASICA,RUA OSWALDO SCHOEREDER,300,CENTRO
SC,LUIZ ALVES,UNIDADE DE SAUDE DA FAMILIA VILA DO SALTO,RODOVIA SC 414,274,VILA DO SALTO
SC,LUIZ ALVES,UNIDADE DE SAUDE DA FAMILIA RIBEIRAO MAXIMO,ESTRADA GERAL,S/N,RIBEIRAO MAXIMO
SC,LUIZ ALVES,UNIDADE DE SAUDE RIO CANOAS,ESTRADA GERAL,S/N,RIO CANOAS
SC,LUIZ ALVES,UNIDADE DE SAUDE BRACO SERAFIM,RUA PREF WILLIBALDO WAN DEN BYLAARDT,S/N,BRACO SERAFIM
SC,LUIZ ALVES,UNIDADE DE SAUDE DA FAMILIA MARGIO MELCHIORETTO,ESTRADA GERAL RIO DO PEIXE,S/N,RIO DO PEIXE
SC,LUZERNA,UNIDADE SAUDE DA FAMILIA,FERNANDO KATCHOR,388,SAO FRANCISCO
SC,LUZERNA,UNIDADE SANITARIA CENTRAL DE LUZERNA,AV 16 DE FEVEREIRO,151,CENTRO
SC,MACIEIRA,POSTO DE SAUDE KM 30,KM 30,S/N,INTERIOR
SC,MACIEIRA,POSTO DE SAUDE DE MACIEIRA,DONA MARIA MENDES,153,CENTRO
SC,MAFRA,UNIDADE DE ESF EDVINO HABLE,ESTRADA GERAL,S/N,SAO LOURENCO
SC,MAFRA,UNIDADE DE ESF VEREADOR EDSON LUIS SCHULTZ,BENEMERITO PAULO TAVARES,S/N,RESTINGA
SC,MAFRA,UNIDADE DE ESF CENTRAL,RUA MARECHAL FLORIANO PEIXOTO,0,CENTRO
SC,MAFRA,UNIDADE DE ESF BENEMERITO JOSE TAUSCHECK,RUA TUPINAMBAS,1,VISTA ALEGRE
SC,MAFRA,NUCLEO MATERNO INFANTIL,RUA MAL FLORIANO PEIXOTO,S/N,CENTRO
SC,MAFRA,UNIDADE DE ESF BENEMERITA ANA ZILDA RUTHES,ESTRADA GERAL,S/N,ESPIGAO DO BUGRE
SC,MAFRA,UNIDADE DE ESF GUILHERME GANZERT,RUA CAMPO DA LANCA,S/N,FAXINAL
SC,MAFRA,UNIDADE DE ESF CAIC,AV DAS ROSAS,S/N,VILA DAS FLORES
SC,MAFRA,UNIDADE DE ESF NOVA ESPERANCA,ESTRADA GERAL,S/N,AUGUSTA VITORIA
SC,MAFRA,UNIDADE DE ESF JARDIM AMERICA BENEMERITA ULLA SCHNEIDER,RUA JOSE REITMEYER,S/N,JARDIM AMERICA
SC,MAFRA,UNIDADE DE ESF MANOEL BRAZ FILHO,ESTRADA GERAL,S/N,SALTINHO DO CANIVETE
SC,MAFRA,UNIDADE DE ESF JUVENTINO HAAS PETTERS,ESTRADA GERAL,S/N,BELA VISTA DO SUL
SC,MAFRA,UNIDADE DE ESF RICARDO GREGORIO,RUA MIGUEL DIETRICH,S/N,VILA NOVA
SC,MAFRA,UNIDADE DE ESF OSVALDO SAMPAIO,BUTIA DOS TABORDAS,0,INTERIOR
SC,MAJOR GERCINO,UNIDADE DE SAUDE NOVA GALICIA,ESTRADA GERAL NOVA GALICIA,S/N,NOVA GALICIA
SC,MAJOR GERCINO,UNIDADE DE SAUDE PINHEIRAL,RUA GERAL PINHEIRAL,102,PINHEIRAL
SC,MAJOR GERCINO,UNIDADE SANITARIA CENTRO,RUA JOAQUIM SILVEIRA,90,CENTRO
SC,MAJOR GERCINO,UNIDADE DE SAUDE SALTO,ESTRADA GERAL SALTO,S/N,SALTO
SC,MAJOR GERCINO,UNIDADE DE SAUDE BOA ESPERANCA,ESTRADA GERAL BOA ESPERANCA,S/N,BOA ESPERANCA
SC,MAJOR GERCINO,UNIDADE DE SAUDE DIAMANTE,ESTRADA GERAL DIAMANTE,S/N,DIAMANTE
SC,MAJOR GERCINO,UNIDADE SANITARIA BOITEUXBURGO,RUA GERAL BOITEUXBURGO,23,BOITEUXBURGO
SC,MAJOR VIEIRA,US MAJOR VIEIRA,TRAVESSA OTACILIO FLORENTINO DE SOUZA,188,CENTRO
SC,MARACAJA,CEMASAS,RUA JOAO CARRADORE,450,CENTRO
SC,MARAVILHA,ESTRATEGIA SAUDE DA FAMILIA CENTRO 3,RUA SILVIO NORONHA,S/N,CENTRO
SC,MARAVILHA,ESTRATEGIA SAUDE DA FAMILIA BELA VISTA,RUA GOVERNADOR PEDRO IVO,240,BELA VISTA
SC,MARAVILHA,ESTRATEGIA SAUDE DA FAMILIA MARISTELA GENESINI SIQUEIRA,RUA PAULINO FRANCISCO DE OLIVEIRA,460,ESTRELA
SC,MARAVILHA,ESTRATEGIA SAUDE DA FAMILIA FLORESTA,AVENIDA PRESIDENTE GETULIO VARGAS,430,FLORESTA
SC,MARAVILHA,CENTRO MUNICIPAL DE SAUDE,AVENIDA EUCLIDES DA CUNHA,60,CENTRO
SC,MARAVILHA,ESTRATEGIA DE SAUDE DA FAMILIA MARCIANY CRISTINA ZAT LISBOA,RUA INDEPENDENCIA,S/N,CENTRO
SC,MARAVILHA,ESTRATEGIA SAUDE DA FAMILIA NOVO BAIRRO,RUA ANGELO PISSATTO,116,NOVO BAIRRO
SC,MAREMA,UNIDADE SANITARIA SEDE DE MAREMA,RUA JOSE GASPARI,0,CENTRO
SC,MASSARANDUBA,ESTRATEGIA SAUDE DA FAMILIA JOAO ALBERTO MATOS FADUL,RUA ONZE DE NOVEMBRO,2997,CENTRO
SC,MASSARANDUBA,ESTRATEGIA SAUDE DA FAMILIA DONATO PETRI,ESTRADA GERAL MASSARANDUBINHA,S/N,MASSARANDUBINHA
SC,MASSARANDUBA,ESTRATEGIA SAUDE DA FAMILIA DANILO DE TOFFOL,ESTRADA GERAL BRACO DIREITO,S/N,BRACO DIREITO
SC,MASSARANDUBA,ESTRATEGIA SAUDE DA FAMILIA JULIO VEGINI,ESTRADA GERAL PRIMEIRO BRACO DO NORTE,S/N,PRIMEIRO BRACO DO NO
SC,MASSARANDUBA,ESTRATEGIA SAUDE DA FAMILIA BENJAMIN CONSTANT,ESTRADA GERAL BENJAMIN CONSTANT,S/N,BENJAMIN CONSTANT
SC,MATOS COSTA,UNIDADE SANITARIA DE MATOS COSTA,RUA FREI ROGERIO,S/N,CENTRO
SC,MATOS COSTA,POSTO DE SAUDE ASSENTAMENTO 13 DE OUTUBRO,ASSENTAMENTO 13 DE OUTUBRO,S/N,INTERIOR
SC,MELEIRO,PROGRAMA SAUDE DA FAMILIA,JOSE MEZZARI,S/N,CENTRO
SC,MELEIRO,US CENTRAL DE MELEIRO,RUA JOSE MEZZARI,S/N,CENTRO
SC,MELEIRO,POSTO DE SAUDE DE SAPIRANGA,RUA 14 DE DEZEMBRO,S/N,SAPIRANGA
SC,MIRIM DOCE,UNIDADE SANITARIA DE MIRIM DOCE,RUA ANTONIO ALEGRE,S/N,CENTRO
SC,MODELO,UNIDADE SANITARIA SEDE DE MODELO,RUA PRESIDENTE VARGAS,20,CENTRO
SC,MONDAI,SAUDE DA FAMILIA IV,RUA CRISTIANO WANDACHEER,27,CENTRO
SC,MONDAI,SAUDE DA FAMILIA I,RUA CRISTIANO WANDSCHEER,27,CENTRO
SC,MONDAI,SAUDE DA FAMILIA III,RUA CRISTIANO WANDSCHERR,27,CENTRO
SC,MONDAI,UNIDADE DE SAUDE ROMIRO ADRIANO UTZIG SAUDE DA FAMILIA II,RUA CRISTIANO WANDSCHEER,27,CENTRO
SC,MONTE CARLO,ESF SAO CARLOS,ENIO LOPES DE ALBUQUERQUE,1885,SAO CARLOS
SC,MONTE CARLO,ESF SAO JOSE,SENHORINHA APARECIDA DA SILVA,S/N,SAO JOSE
SC,MONTE CARLO,UNIDADE MISTA DE SAUDE NOSSA SENHORA DE SALETE,AV ENIO LOPES DE ALBUQUERQUE,256,NOVO BAIRRO
SC,MONTE CARLO,ESF SANTO ANTONIO,SEBASTIAO LUIZ CORDEIRO,892,SANTO ANTONIO
SC,MONTE CARLO,UNIDADE SANITARIA DE MONTE CARLO,AV PRESIDENTE KENNEDY,15,NOVO BAIRRO
SC,MONTE CASTELO,POSTO DE SAUDE RODEIO GRANDE,ESTRADA PRINCIPAL,10,LOCALIDADE
SC,MONTE CASTELO,PROGRAMA DE SAUDE DA FAMILIA,GREGORIO MATIOSKI,225,BAIRRO ALTO
SC,MONTE CASTELO,POSTO DE SAUDE ATERRADO ALTO,ATERRADO ALTO BR 116,S/N,INTERIOR
SC,MONTE CASTELO,UNIDADE SANITARIA HELIO DOS ANJOS ORTIS,RUA JOSE JACYNTO RAIMUNDO,S/N,CENTRO
SC,MONTE CASTELO,POSTO DE SAUDE ZONA LESTE,RUA GREGORIO MATIOSK,S/N,BAIRRO ALTO
SC,MONTE CASTELO,POSTO DE SAUDE RESIDENCIA FUCK,RESIDENCIA FUCK,S/N,RESIDENCIA FUCK
SC,MORRO DA FUMACA,ESF IWALDO LUCIANO,RUA GERAL,S/N,LOTEAMENTO GRAZIELA
SC,MORRO DA FUMACA,ESF CLEMENTINA HERMINIA MACCARI DAGOSTIN,RUA JORGE DAGOSTIN,330,MACCARI
SC,MORRO DA FUMACA,UNIDADE DE SAUDE VILA RICA,RUA FRANCISCO MOROTISKOSKI,S/N,VILA RICA
SC,MORRO DA FUMACA,ESF PERPETUA ZEFERINO MARTINS,RUA DUNELIO ZANELATO,154,CENTRO
SC,MORRO DA FUMACA,ESF ANA BENFATO GOBATO,RUA LUIZ MARAGNO,S/N,ESTACAO COCAL
SC,MORRO DA FUMACA,ESF ANTONIO MAURICIO GOMES,RUA DOS EXPEDICIONARIOS,S/N,NASPOLINI
SC,MORRO DA FUMACA,ESF ALFREDO VALSECHI,RUA CANDIDO,S/N,JUSSARA
SC,MORRO GRANDE,PSF MORRO GRANDE,RUA JUVENAL FELICIANO BITENCOURT,160,CENTRO
SC,MORRO GRANDE,UNIDADE MISTA DE SAUDE AVELINO MEZZARI,RUA JUVENAL FELICIANO BITENCURT,160,CENTRO
SC,NAVEGANTES,UNIDADE BASICA DE SAUDE GRAVATA,AVENIDA PREFEITO JOSE JUVENAL MAFRA,7381,GRAVATA
SC,NAVEGANTES,UNIDADE BASICA DE SAUDE HUGO DE ALMEIDA,ESTRADA GERAL DE AREIAS,S/N,HUGO DE ALMEIDA
SC,NAVEGANTES,UNIDADE BASICA DE SAUDE SAO DOMINGOS,RUA GRACILIDES COELHO REISER,S/N,SAO DOMINGOS
SC,NAVEGANTES,UNIDADE BASICA DE SAUDE SAO PAULO,RUA FRANCISCO DE PAULA SEARA,S/N,SAO PAULO
SC,NAVEGANTES,UNIDADE BASICA DE SAUDE SAO DOMINGOS II,RUA ANTONIO SATURNINO CARDOSO,S/N,SAO DOMINGOS II
SC,NAVEGANTES,UNIDADE BASICA DE SAUDE PORTO DAS BALSAS,RUA HERCILIO ROCHA WEBER,S/N,PORTO DAS BALSAS
SC,NAVEGANTES,UNIDADE BASICA DE SAUDE CENTRAL,RUA VEREADOR NEREU LIBERATO NUNES,S/N,CENTRO
SC,NAVEGANTES,UNIDADE BASICA DE SAUDE SAO PEDRO,RUA MANOEL MAFRA FILHO,S/N,SAO PEDRO
SC,NAVEGANTES,UNIDADE BASICA DE SAUDE NOSSA SENHORA DAS GRACAS,RUA SERVIDAO SANTA CATARINA,S/N,NOSSA SENHORA DAS GR
SC,NAVEGANTES,UNIDADE BASICA DE SAUDE PEDREIRAS,RUA ONORIO BORTOLATO,S/N,PEDREIRAS
SC,NAVEGANTES,UNIDADE BASICA DE SAUDE ESCALVADOS,RUA VEREADOS LOURECI SOARES DA SILVA,S/N,ESCALVADOS
SC,NAVEGANTES,UNIDADE BASICA DE SAUDE PORTO ESCALVADOS,RUA GERAL PORTO ESCALVADO,S/N,PORTO ESCALVADO
SC,NAVEGANTES,UNIDADE BASICA DE SAUDE VOLTA GRANDE,RUA OSVALDO MULLER,S/N,VOLTA GRANDE
SC,NAVEGANTES,UNIDADE BASICA DE SAUDE MACHADOS,RUA SANTA LUZIA,66,MACHADOS
SC,NAVEGANTES,CENTRO ESPECIALIZADO DE SAUDE,RUA NEREU LIBERATO NUNES,S/N,CENTRO
SC,NAVEGANTES,UNIDADE BASICA DE SAUDE ESCALVADINHOS,RUA GERAL DE AREIAS,S/N,ESCALVADOS
SC,NAVEGANTES,UNIDADE BASICA DE SAUDE DE AREIAS,ESTRADA GERAL DE AREIAS,S/N,ESCALVADOS
SC,NAVEGANTES,UNIDADE BASICA DE SAUDE VERDE MAR,RUA ARTUR APOLONI RUSSI,2600,CENTRO
SC,NAVEGANTES,UNIDADE BASICA DE SAUDE MEIA PRAIA,RUA ENGENHEIRO FELIX MALBURG,S/N,MEIA PRAIA
SC,NOVA ERECHIM,UNIDADE SANITARIA SEDE DE NOVA ERECHIM,RUA SAO CRISTOVAO,174,CENTRO
SC,NOVA ITABERABA,UNIDADE SANITARIA SEDE DE NOVA ITABERABA,RUA FREI LIBERATO,249,CENTRO
SC,NOVA TRENTO,UNIDADE SANITARIA DO DISTRITO DE CLARAIBA,RUA GERAL,S/N,CLARAIBA
SC,NOVA TRENTO,UNIDADE SANITARIA DO BAIRRO PITANGA,RUA GERAL,S/N,PITANGA
SC,NOVA TRENTO,UNIDADE SANITARIA DO DISTRITO DE AGUTI,RUA GERAL,S/N,AGUTI
SC,NOVA TRENTO,UNIDADE SANITARIA MADRE PAULINA,RUA NEREU RAMOS,164,CENTRO
SC,NOVA TRENTO,UNIDADE SANITARIA DO BAIRRO TRINTA REIS,CLARA TERESA TOMASINI BOTTAMEDI,S/N,TRINTA REIS
SC,NOVA TRENTO,UNIDADE SANITARIA DO BAIRRO BESENELLO,RUA DOS IMIGRANTES,S/N,CENTRO
SC,NOVA VENEZA,UNIDADE BASICA DE SAUDE PASCOA BEZ DUMINELLI,ESTRADA GERAL SAO BENTO ALTO,S/N,SAO BENTO ALTO
SC,NOVA VENEZA,UNIDADE SANITARIA DE RIO CEDRO ALTO,ESTRADA GERAL CEDRO ALTO,12,RIO CEDRO ALTO
SC,NOVA VENEZA,UNIDADE SANITARIA DE SAO BONIFACIO,RUA JOSE GINO JUNKES,S/N,SAO BONIFACIO
SC,NOVA VENEZA,UNIDADE SANITARIA DR DINO GORINI,RUA ALFREDO BORTOLUZZI,420,BORTOLUZZI
SC,NOVA VENEZA,UNIDADE SANITARIA DE JARDIM FLORENCA,AVENIDA JARDINS,S/N,JARDIM FLORENCA
SC,NOVA VENEZA,UNIDADE SANITARIA DE VILA MARIA,ESTRADA GERAL VILA MARIA,S/N,VILA MARIA
SC,NOVA VENEZA,UNIDADE SANITARIA CATHARINA FELTRIM SPILLERE,RUA 26 DE MAIO,S/N,CARAVAGGIO
SC,NOVA VENEZA,UNIDADE SANITARIA ORELINDA BEZ BORTOLOTTO,RUA CONSELHEIRO PEDRO BORTOLOTTO,S/N,SAO BENTO BAIXO
SC,NOVA VENEZA,UNIDADE SANITARIA BAIRRO BORTOLOTTO,RUA CONEGO AMILCARE GABRIEL,S/N,BORTOLOTTO
SC,NOVA VENEZA,UNIDADE SANITARIA DE SAO FRANCISCO DO RIO MORTO,ESTRADA GERAL SAO FRANCISCO,S/N,SAO FRANCISCO
SC,NOVA VENEZA,RIO CEDRO MEDIO,ESTRADA GERAL RIO CEDRO MEDIO,S/N,RIO CEDRO MEDIO
SC,NOVO HORIZONTE,UNIDADE SANITARIA SEDE DE NOVO HORIZONTE,AVENIDA CASTELO BRANCO,24,CENTRO
SC,ORLEANS,UNIDADE SAO ROQUE ESF,RUA SAO FRANCISCO,118,BARRO VERMELHO
SC,ORLEANS,UNIDADE SAO JOSE ESF,RUA EDGAR CUNHA,184,SAMUEL SANDRINI
SC,ORLEANS,PROGRAMA DE SAUDE BUCAL,MIGUEL COUTO,800,CENTRO
